"zone","state","lga","sector","ea","hhid","plotid","s11aq4a","s11aq4b","s11aq4c","s11aq4a1","s11aq4b1","s11aq4b1_os","s11aq5c","s11aq6a","s11aq6b"
2,2,210,2,1300,20062,2,1.5,6,2465.2,1,,,200622,1,
2,2,210,2,1300,20062,3,2,6,4929,1,,,200623,12,
2,2,210,2,1300,20063,1,3.6,6,10608,1,,,200631,1,2
2,2,210,2,1300,20063,2,2,6,5668,1,,,200632,1,2
2,2,210,2,1300,20063,3,3.2,6,8443,1,,,200633,1,2
2,2,210,2,1300,20064,1,4,5,8746.2,1,,,2006401,1,2
2,2,210,2,1300,20064,2,13,5,,2,1,,,1,2
2,2,210,2,1300,20065,1,1,5,3740.5,1,,,200651,1,2
2,2,210,2,1300,20065,2,1.5,5,4813.3,1,,,200652,1,2
2,2,210,2,1300,20065,3,2,5,5930.6,1,,,200653,1,2
2,2,210,2,1300,20066,1,1,5,3625.5,1,,,200661,1,2
2,2,210,2,1300,20066,2,2.5,5,,2,2,,,1,2
2,2,210,2,1300,20068,1,1.5,5,,2,1,,,2,
2,2,210,2,1300,20068,2,2,5,,2,1,,,2,
2,2,210,2,1300,20068,3,2,5,,2,1,,,2,
2,2,210,2,1300,20069,1,3,6,8309.3,1,,,200691,1,2
2,2,210,2,1300,20069,2,2,6,,2,5,"FARM NOT ACCESSIBLE DUE TO BIG RIVER",,1,2
2,2,210,2,1300,20070,1,2,5,10384,1,,,200701,3,
2,2,210,2,1300,20070,2,2,5,10418,1,,,200702,8,
2,2,214,2,898,20072,1,6,6,9432.52,1,,,200721,13,
2,2,214,2,898,20072,2,4,6,6878.91,1,,,200722,13,
2,2,214,2,898,20072,3,1,6,2410.3,1,,,200723,13,
2,2,214,2,898,20074,1,3,5,,2,2,,,11,
2,2,214,2,898,20075,1,2,6,,2,1,,,1,
2,2,214,2,898,20077,1,2,6,,2,1,,,1,
2,2,214,2,898,20077,2,2,6,,2,1,,,1,
2,2,215,1,8,20081,1,1,6,4310,1,,,200811,2,1
2,2,215,1,8,20081,2,1,6,3988,1,,,200812,2,1
2,2,215,1,8,20082,1,3,5,8489.5,1,,,200821,2,
2,2,215,1,8,20082,2,3,5,9832.3,1,,,200822,3,
2,2,215,1,8,20082,3,2,5,6952.7,1,,,200823,4,
2,2,215,1,8,20083,1,2,4,,2,2,,,2,
2,2,215,1,8,20085,1,1.5,5,,2,1,,,1,5
2,2,215,1,8,20086,1,2,5,,2,2,,,3,5
2,2,215,1,8,20086,2,2,5,,2,2,,,5,3
2,2,215,1,8,20087,1,2,6,,2,1,,,1,28
2,2,215,1,8,20088,1,3,5,5089.4,1,,,200881,1,2
2,2,215,1,8,20088,2,5,5,,2,2,,,1,2
2,2,215,1,8,20089,1,13,5,6189.9,1,,,200891,1,2
2,2,215,1,8,20089,2,2,5,,2,1,,,1,
2,2,215,1,8,20090,1,2,5,5862,1,,,200901,2,3
2,2,215,1,8,20090,2,1.5,5,3408,1,,,200902,2,3
2,2,215,1,8,20090,3,1,5,3007,1,,,200903,2,3
2,2,207,2,1302,20091,1,2.5,6,5771.1,1,,,200911,1,
2,2,207,2,1302,20091,2,2,6,6032.3,1,,,200912,1,
2,2,207,2,1302,20091,3,1,6,4516.7,1,,,200913,1,
2,2,207,2,1302,20092,1,4,5,14927.1,1,,,200921,1,
2,2,207,2,1302,20092,2,3,5,10840.5,1,,,200922,1,3
2,2,207,2,1302,20092,3,3,5,10680.4,1,,,200923,2,4
2,2,207,2,1302,20093,1,2,5,3977,1,,,200931,1,
2,2,207,2,1302,20093,2,2,5,4007,1,,,200932,2,
2,2,207,2,1302,20093,3,2,5,3677,1,,,200933,3,
2,2,207,2,1302,20094,1,1,5,2893.5,1,,,200941,2,
2,2,207,2,1302,20094,2,2,5,,2,1,,,1,
2,2,207,2,1302,20095,1,2,5,,2,1,,,1,
2,2,207,2,1302,20095,2,3,5,,2,1,,,1,
2,2,207,2,1302,20096,1,6.3,6,8726,1,,,200961,1,2
2,2,207,2,1302,20096,2,7.2,6,9983,1,,,200962,3,2
2,2,207,2,1302,20096,3,4.7,6,4030,1,,,200963,1,3
2,2,207,2,1302,20097,1,5,5,,2,1,,,1,
2,2,207,2,1302,20097,2,3,5,,2,1,,,1,
2,2,207,2,1302,20097,3,1,6,,2,1,,,1,
2,2,207,2,1302,20098,1,3.8,5,8970.6,1,,,200981,1,2
2,2,207,2,1302,20098,2,4.5,5,11850.5,1,,,200982,1,2
2,2,207,2,1302,20098,3,2.9,5,7020,1,,,200983,1,2
2,2,207,2,1302,20099,1,1,5,3775.2,1,,,200991,1,
2,2,207,2,1302,20100,1,3,5,4387.3,1,,,201001,1,4
2,2,207,2,1302,20100,2,1.5,5,2458,1,,,201002,1,4
2,2,205,2,712,20101,1,2,6,8160,1,,,201011,1,
