"zone","state","lga","sector","ea","hhid","s9q29a","s9q29b","s9q29c","s9q30a","s9q30b","s9q30c"
2,2,209,2,1040,20001,71,72,,,,
2,2,209,2,1040,20002,,,,71,72,
2,34,3401,2,0,20003,,,,71,72,111
2,2,209,2,0,20004,,,,61,81,91
2,2,209,2,1040,20005,83,71,,,,
2,2,209,2,1040,20006,61,62,63,,,
2,2,209,2,1040,20007,,,,11,61,
2,2,209,2,1040,20008,,,,61,91,
2,2,209,2,1040,20009,,,,83,82,81
2,2,209,2,1040,20010,,,,71,72,
2,34,3416,2,0,20011,71,72,,,,
2,2,221,2,18,20012,73,72,,,,
2,2,221,2,18,20013,81,,,,,
2,2,221,2,18,20014,83,,,,,
2,2,221,2,18,20015,61,72,,,,
2,2,221,2,18,20016,61,62,63,,,
2,2,221,2,18,20017,,,,72,73,74
2,2,221,2,18,20018,81,63,31,,,
2,2,221,2,18,20019,,,,71,72,
2,2,221,2,18,20020,81,82,83,,,
2,2,201,2,60,20021,,,,61,62,
2,2,201,2,60,20022,12,83,13,,,
2,2,201,2,60,20023,,,,61,91,
2,2,201,2,60,20024,83,81,,,,
2,2,201,2,60,20025,83,62,,,,
2,2,201,2,60,20026,,,,61,91,
2,2,201,2,60,20027,,,,81,83,
2,2,201,2,60,20028,83,81,,,,
2,2,201,2,60,20029,,,,71,72,74
2,2,201,2,60,20030,,,,91,61,
2,2,216,2,200,20031,,,,71,72,
2,2,216,2,200,20032,,,,71,73,72
2,2,216,2,200,20033,,,,71,73,
2,2,216,2,200,20034,111,114,83,,,
2,2,216,2,200,20035,,,,71,72,
2,2,216,2,200,20036,,,,71,81,83
2,2,216,2,200,20037,61,81,,,,
2,2,216,2,200,20038,,,,61,92,71
2,2,216,2,200,20040,81,71,101,,,
2,2,203,2,1224,20041,,,,83,81,82
2,2,203,2,1224,20042,11,21,81,,,
2,2,203,2,1224,20043,61,93,,,,
2,2,203,2,1224,20044,,,,61,31,81
2,2,203,2,1224,20045,71,72,,,,
2,2,203,2,1224,20046,,,,31,81,
2,2,203,2,1224,20047,61,91,,,,
2,2,203,2,1224,20048,71,72,73,,,
2,2,203,2,1224,20049,,,,72,73,
2,2,203,2,1224,20050,71,72,,,,
2,2,212,2,956,20051,,,,81,61,31
2,2,212,2,956,20052,,,,61,91,81
